flight_date,avg_arrival_delay
2024-01-01,-4.04
2024-01-02,1.36
2024-01-03,2.33
2024-01-04,-3.04
2024-01-05,-2.19
2024-01-06,13.35
2024-01-07,12.74
2024-01-08,17.62
2024-01-09,37.18
2024-01-10,5.68
2024-01-11,4.17
2024-01-12,24.31
2024-01-13,21.49
2024-01-14,25.13
2024-01-15,42.19
2024-01-16,41.59
2024-01-17,14.16
2024-01-18,5.27
2024-01-19,24.71
2024-01-20,4.71
2024-01-21,3.69
2024-01-22,9.83
2024-01-23,5.05
2024-01-24,7.07
2024-01-25,7.82
2024-01-26,3.96
2024-01-27,-1.16
2024-01-28,1.26
2024-01-29,-3.73
2024-01-30,-6.57
2024-01-31,-7.69
2024-02-01,-1.1
2024-02-02,-3.3
2024-02-03,2.34
2024-02-04,14.52
2024-02-05,3.06
2024-02-06,-5.67
2024-02-07,-6.48
2024-02-08,-2.11
2024-02-09,-2.93
2024-02-10,-1.35
2024-02-11,-0.21
2024-02-12,2.58
2024-02-13,-1.96
2024-02-14,-5.87
2024-02-15,0.69
2024-02-16,8.37
2024-02-17,13.96
2024-02-18,5.1
2024-02-19,1.75
2024-02-20,-3.9
2024-02-21,-4.52
2024-02-22,-1.64
2024-02-23,-2.81
2024-02-24,-3.48
2024-02-25,-2.56
2024-02-26,0.04
2024-02-27,6.38
2024-02-28,5.05
2024-02-29,1.93
2024-03-01,2.77
2024-03-02,8.88
2024-03-03,13.04
2024-03-04,-0.47
2024-03-05,-2.37
2024-03-06,-1.28
2024-03-07,8.37
2024-03-08,9.44
2024-03-09,22.25
2024-03-10,15.52
2024-03-11,4.83
2024-03-12,-5.05
2024-03-13,-2.94
2024-03-14,11.31
2024-03-15,15.92
2024-03-16,8.06
2024-03-17,7.54
2024-03-18,5.47
2024-03-19,-4.74
2024-03-20,-2.26
2024-03-21,2.74
2024-03-22,10.46
2024-03-23,18.89
2024-03-24,10.83
2024-03-25,5.28
2024-03-26,3.51
2024-03-27,16.04
2024-03-28,12.13
2024-03-29,3.11
2024-03-30,0.92
2024-03-31,0.5
2024-04-01,6.56
2024-04-02,3.79
2024-04-03,25.01
2024-04-04,13.45
2024-04-05,4.58
2024-04-06,-0.94
2024-04-07,-0.78
2024-04-08,0.48
2024-04-09,3.65
2024-04-10,7.93
2024-04-11,20.42
2024-04-12,12.38
2024-04-13,0.55
2024-04-14,2.37
2024-04-15,2.2
2024-04-16,0.98
2024-04-17,2.76
2024-04-18,5.89
2024-04-19,2.5
2024-04-20,16.98
2024-04-21,7.61
2024-04-22,1.76
2024-04-23,-3.7
2024-04-24,-2.73
2024-04-25,1.86
2024-04-26,12.71
2024-04-27,1.91
2024-04-28,8.38
2024-04-29,1.2
2024-04-30,-1.54
2024-05-01,-0.48
2024-05-02,12.78
2024-05-03,8.13
2024-05-04,5.36
2024-05-05,13.51
2024-05-06,12.11
2024-05-07,14.48
2024-05-08,15.65
2024-05-09,26.2
2024-05-10,18.52
2024-05-11,3.1
2024-05-12,10.53
2024-05-13,14.0
2024-05-14,6.56
2024-05-15,20.57
2024-05-16,22.61
2024-05-17,12.09
2024-05-18,13.32
2024-05-19,10.02
2024-05-20,11.72
2024-05-21,10.62
2024-05-22,11.12
2024-05-23,19.68
2024-05-24,19.69
2024-05-25,6.92
2024-05-26,11.63
2024-05-27,21.0
2024-05-28,24.39
2024-05-29,16.72
2024-05-30,16.56
2024-05-31,13.61
2024-06-01,11.8
2024-06-02,12.15
2024-06-03,8.48
2024-06-04,8.57
2024-06-05,20.34
2024-06-06,13.69
2024-06-07,9.47
2024-06-08,4.27
2024-06-09,8.63
2024-06-10,6.38
2024-06-11,9.21
2024-06-12,7.44
2024-06-13,9.49
2024-06-14,16.0
2024-06-15,6.9
2024-06-16,9.94
2024-06-17,8.74
2024-06-18,4.37
2024-06-19,4.35
2024-06-20,7.49
2024-06-21,9.82
2024-06-22,14.05
2024-06-23,18.07
2024-06-24,15.33
2024-06-25,24.51
2024-06-26,21.09
2024-06-27,13.6
2024-06-28,9.71
2024-06-29,11.86
2024-06-30,22.56
2024-07-01,8.53
2024-07-02,2.41
2024-07-03,1.55
2024-07-04,-5.31
2024-07-05,8.05
2024-07-06,11.35
2024-07-07,19.01
2024-07-08,14.74
2024-07-09,10.91
2024-07-10,14.12
2024-07-11,10.89
2024-07-12,20.73
2024-07-13,12.51
2024-07-14,23.34
2024-07-15,21.9
2024-07-16,18.78
2024-07-17,23.78
2024-07-18,26.68
2024-07-19,55.47
2024-07-20,29.73
2024-07-21,32.28
2024-07-22,37.34
2024-07-23,27.11
2024-07-24,20.35
2024-07-25,12.76
2024-07-26,10.51
2024-07-27,5.42
2024-07-28,14.75
2024-07-29,16.54
2024-07-30,13.26
2024-07-31,14.02
2024-08-01,14.17
2024-08-02,21.95
2024-08-03,24.84
2024-08-04,25.78
2024-08-05,21.23
2024-08-06,15.01
2024-08-07,13.39
2024-08-08,19.32
2024-08-09,22.1
2024-08-10,7.93
2024-08-11,8.25
2024-08-12,3.04
2024-08-13,1.15
2024-08-14,1.23
2024-08-15,6.84
2024-08-16,5.0
2024-08-17,9.85
2024-08-18,18.81
2024-08-19,16.15
2024-08-20,1.14
2024-08-21,0.04
2024-08-22,11.3
2024-08-23,5.49
2024-08-24,-0.55
2024-08-25,0.97
2024-08-26,3.67
2024-08-27,-0.03
2024-08-28,-1.46
2024-08-29,15.31
2024-08-30,16.88
2024-08-31,2.54
2024-09-01,3.87
2024-09-02,4.72
2024-09-03,-2.59
2024-09-04,-3.46
2024-09-05,-0.97
2024-09-06,-0.97
2024-09-07,-3.38
2024-09-08,1.62
2024-09-09,-0.88
2024-09-10,-5.23
2024-09-11,-2.19
2024-09-12,0.88
2024-09-13,-0.61
2024-09-14,-5.0
2024-09-15,3.03
2024-09-16,0.85
2024-09-17,-3.29
2024-09-18,-4.31
2024-09-19,3.96
2024-09-20,6.8
2024-09-21,-1.41
2024-09-22,4.61
2024-09-23,3.78
2024-09-24,-1.77
2024-09-25,4.51
2024-09-26,5.6
2024-09-27,12.47
2024-09-28,-0.57
2024-09-29,3.83
2024-09-30,-0.39
2024-10-01,-3.11
2024-10-02,-4.74
2024-10-03,1.43
2024-10-04,0.47
2024-10-05,-3.9
2024-10-06,2.49
2024-10-07,2.61
2024-10-08,-4.46
2024-10-09,-5.46
2024-10-10,-1.41
2024-10-11,3.96
2024-10-12,-3.05
2024-10-13,0.27
2024-10-14,2.44
2024-10-15,-3.24
2024-10-16,-3.24
2024-10-17,2.62
2024-10-18,4.61
2024-10-19,-3.88
2024-10-20,0.7
2024-10-21,-2.21
2024-10-22,-6.14
2024-10-23,-4.93
2024-10-24,-1.2
2024-10-25,0.73
2024-10-26,-2.73
2024-10-27,0.71
2024-10-28,-2.43
2024-10-29,-7.74
2024-10-30,-4.24
2024-10-31,-0.01
2024-11-01,-1.53
2024-11-02,-4.43
2024-11-03,3.41
2024-11-04,5.28
2024-11-05,-2.83
2024-11-06,0.71
2024-11-07,7.68
2024-11-08,5.0
2024-11-09,-3.15
2024-11-10,-2.94
2024-11-11,-3.87
2024-11-12,-7.36
2024-11-13,-5.71
2024-11-14,-3.07
2024-11-15,-3.09
2024-11-16,-8.07
2024-11-17,-3.28
2024-11-18,-0.85
2024-11-19,-6.84
2024-11-20,-1.19
2024-11-21,12.88
2024-11-22,6.88
2024-11-23,-0.21
2024-11-24,-0.23
2024-11-25,0.0
2024-11-26,0.4
2024-11-27,0.49
2024-11-28,-7.0
2024-11-29,-1.8
2024-11-30,6.52
2024-12-01,9.46
2024-12-02,7.96
2024-12-03,-0.39
2024-12-04,4.07
2024-12-05,9.9
2024-12-06,4.31
2024-12-07,-4.16
2024-12-08,-2.53
2024-12-09,-1.88
2024-12-10,0.44
2024-12-11,8.05
2024-12-12,3.51
2024-12-13,1.35
2024-12-14,0.48
2024-12-15,1.05
2024-12-16,6.33
2024-12-17,-4.67
2024-12-18,5.12
2024-12-19,6.39
2024-12-20,22.12
2024-12-21,20.45
2024-12-22,7.22
2024-12-23,1.27
2024-12-24,22.01
2024-12-25,-6.95
2024-12-26,18.08
2024-12-27,15.1
2024-12-28,24.66
2024-12-29,29.12
2024-12-30,2.49
2024-12-31,0.39
